ID,Name,Age,Gender,Salary
42572,John,33,Non-binary,81473
37988,David,22,Non-binary,93743
5399,James,58,Male,73902
44744,John,37,Male,67707
35835,Mary,33,Female,61140
43524,Mary,32,Female,39612
37541,John,22,Non-binary,95261
30221,Mary,64,Male,55442
19739,Sarah,60,Male,86498
12384,Mary,39,Non-binary,57041
605,Mary,30,Non-binary,97745
18761,Sarah,28,Female,99527
11134,Mary,47,Non-binary,82261
24401,Sarah,39,Male,71485
6713,Sarah,63,Male,31585
803,David,51,Female,73421
34566,David,21,Non-binary,45739
32689,David,47,Male,73216
28890,David,19,Male,35044
48929,John,54,Male,52363
16908,Sarah,19,Male,47022
30272,Mary,42,Non-binary,32839
44713,James,61,Non-binary,51270
24092,John,18,Male,67331
12107,John,19,Female,62194
17408,David,54,Female,97011
18462,Sarah,45,Female,59154
7925,John,43,Female,77918
41484,David,56,Male,65757
39732,James,36,Non-binary,83621
6178,David,47,Female,79561
12571,David,27,Female,73985
30591,James,31,Male,43042
2878,James,44,Female,67405
4600,David,50,Non-binary,34851
38717,David,26,Male,31593
17096,Sarah,47,Non-binary,83171
16120,John,31,Female,56360
26940,John,57,Female,49439
39338,Sarah,58,Female,55411
38990,James,37,Male,70025
29154,James,48,Male,75414
32480,James,61,Non-binary,73969
18933,John,39,Male,41915
24376,John,50,Non-binary,91234
7471,Sarah,49,Non-binary,72975
17510,David,20,Female,40974
39177,James,38,Non-binary,48339
44736,Sarah,37,Female,82735
25273,James,57,Non-binary,85808
18126,David,41,Male,31649
17530,Sarah,48,Male,52810
45953,Mary,54,Female,97598
48006,James,29,Non-binary,63576
29892,Sarah,32,Non-binary,75889
8877,James,40,Female,58851
29113,David,63,Female,67058
26597,David,58,Female,54706
45176,Sarah,48,Male,84665
13179,James,45,Non-binary,50205
40142,Mary,25,Male,60727
4727,John,41,Non-binary,33444
47831,Mary,42,Female,74786
34797,John,37,Non-binary,73613
49226,John,36,Female,98172
23101,Sarah,22,Non-binary,77561
26294,James,60,Non-binary,34609
24633,David,54,Female,79554
35684,John,25,Female,75321
30492,Sarah,37,Male,74026
19419,John,55,Non-binary,33709
39369,John,60,Female,68330
43126,Sarah,40,Female,87290
4347,David,55,Female,84426
14113,John,53,Non-binary,56714
7051,John,54,Male,93032
19436,James,58,Non-binary,86625
31780,David,63,Non-binary,93520
46917,James,59,Male,92671
42468,John,39,Female,37849
13378,David,29,Non-binary,94145
17460,Sarah,43,Male,99496
5625,James,31,Female,80528
13727,Sarah,32,Non-binary,96330
27514,Sarah,44,Male,50019
41125,John,63,Male,96217
386,David,26,Male,58063
5653,David,61,Male,82666
3358,James,52,Female,48665
39132,Sarah,35,Non-binary,93044
8111,John,46,Female,99115
28817,John,53,Female,82150
27465,James,62,Non-binary,71423
22528,Mary,62,Non-binary,50281
16839,Sarah,60,Female,33098
4075,John,49,Female,76836
27147,Mary,54,Female,82747
6015,Sarah,62,Female,99037
36422,James,21,Female,46842
41072,Sarah,38,Non-binary,96220
1445,John,55,Male,59661
28089,David,45,Non-binary,57395
30957,Sarah,43,Female,64743
4322,James,58,Female,57698
16310,James,64,Female,36651
22868,Mary,62,Female,74242
44317,David,23,Non-binary,50713
47056,Sarah,32,Male,95687
40424,John,32,Male,57441
309,Sarah,45,Female,82335
42569,John,52,Non-binary,58577
9071,John,37,Non-binary,61394
31110,John,55,Male,87082
30450,Sarah,18,Female,38801
45639,Mary,62,Female,94722
28859,James,45,Male,77574
24509,John,62,Male,49910
45344,John,28,Female,35502
24369,James,54,Non-binary,46856
32764,John,58,Female,55259
40215,Sarah,23,Female,97460
39335,Sarah,54,Non-binary,33561
43931,Mary,63,Male,34431
47727,David,31,Male,58881
46044,David,43,Male,63602
30859,Sarah,63,Female,81977
23155,David,59,Non-binary,52596
10528,Mary,48,Female,39635
38395,David,43,Non-binary,81450
16486,Sarah,46,Male,38463
6514,Mary,64,Male,65176
41374,James,43,Female,92333
31200,James,64,Female,95772
7932,John,23,Male,89864
46461,Sarah,34,Female,51841
22924,John,42,Male,72111
3349,David,33,Female,82158
1995,John,62,Female,98613
38639,Sarah,46,Male,75638
45184,Mary,23,Non-binary,88864
11572,John,45,Male,56125
40105,Sarah,18,Non-binary,65105
18560,Mary,32,Male,75282
35330,Sarah,25,Male,82762
48281,David,50,Non-binary,33641
19782,James,24,Non-binary,78636
16662,John,20,Non-binary,59913
12409,David,57,Non-binary,54092
26197,Sarah,48,Male,58667
2975,Mary,64,Non-binary,81118
19167,Mary,64,Female,71063
19073,John,44,Non-binary,55137
37248,David,37,Non-binary,62605
36706,Sarah,31,Non-binary,76811
39218,David,59,Female,52695
24309,David,55,Male,60098
19466,Sarah,62,Male,81254
7218,David,35,Male,85945
4277,Sarah,40,Non-binary,33023
15364,Sarah,60,Non-binary,45706
34104,David,42,Male,45025
18499,David,48,Female,82248
37973,Mary,25,Non-binary,48381
18497,David,30,Non-binary,31456
23990,Sarah,52,Non-binary,79852
42634,David,34,Non-binary,84848
17655,John,32,Non-binary,71157
20898,James,36,Male,55977
44467,James,37,Female,39972
23405,Sarah,55,Female,36546
41949,Mary,34,Non-binary,38816
18589,John,38,Female,95559
45656,David,33,Non-binary,78128
18848,James,23,Non-binary,43231
16470,John,37,Male,86404
49290,John,56,Non-binary,86491
3058,John,46,Non-binary,54200
2111,David,32,Male,67230
23345,James,35,Male,74276
22558,John,61,Non-binary,35263
34774,David,26,Non-binary,62472
8609,David,30,Male,43878
10794,John,47,Female,77672
42716,James,22,Female,77754
43277,John,64,Non-binary,63134
16072,Mary,55,Non-binary,97584
46872,Sarah,50,Male,52532
44746,David,45,Male,63018
23464,Mary,57,Male,97016
24267,James,29,Non-binary,33053
47595,James,35,Male,39617
13627,John,58,Female,35184
43171,John,35,Female,53307
47259,Sarah,63,Non-binary,60763
36658,Sarah,39,Non-binary,37053
15787,Mary,35,Non-binary,84798
18978,Mary,35,Male,88744
